feature_name,importance
koi_max_sngle_ev,6.062365474705465
koi_depth,2.6052046870975984
koi_insol,1.971400092936551
koi_max_mult_ev,1.8288140625063471
koi_dikco_msky,1.6247891461977153
koi_insol_err2,1.2840108006170967
koi_incl,0.9383044036732561
koi_ror,0.7238488329723626
koi_smet_err2,0.5392824710181567
koi_prad_err1,0.4352145486619569
koi_duration_err2,0.3249529890696207
koi_prad,0.32175878098146304
koi_prad_err2,0.31198519172622413
koi_fwm_stat_sig,0.28317183278455016
koi_dicco_msky,0.2644288147207059
koi_smet_err1,0.1374334237739049
koi_period,0.1215855924440832
koi_insol_err1,0.0854028312601038
koi_dikco_mra,0.08014275065117824
koi_dikco_mdec_err,0.07903848922095809
koi_srho_err2,0.06901560916219876
koi_period_err2,0.06325135093121598
koi_steff_err1,0.061494738088354026
koi_dor,0.05130112729106309
koi_dor_err1,0.04793365780316601
koi_dor_err2,0.04793365780282053
koi_fwm_srao,0.04352203367438326
koi_dikco_mdec,0.0292259508652193
koi_dikco_mra_err,0.022969796700343208
koi_fwm_sdeco,0.008390973711398101
